model,species,gene_body_F1_unconstrained,constrained_gene_body_F1_at_0.01,intergenic_specificity,intergenic_FPR,predicted_gene_count,reference_gene_count,predicted_gene_count_ratio_vs_reference,utility_note
ANNEVO-M17,arabidopsis_lyrata,0.9054773649546007,0.0,0.9822941112036249,0.01770588879637518,27001,31750,0.8504251968503937,FPR 0.01-0.02; gene count sane
ANNEVO-M17,drosophila_melanogaster,0.912217251203942,0.0,0.9506818754998024,0.049318124500197597,17075,17533,0.9738778303770034,FPR>0.02; gene count sane
ANNEVO-M17,gallus_gallus,0.921694213797519,0.0,0.9704145084135726,0.029585491586427454,6021,8197,0.7345370257411248,FPR>0.02; under-calls genes
ANNEVO-M17,oryza_sativa,0.8903076960567319,0.0,0.9851161909561558,0.014883809043844237,9351,13324,0.7018162713899729,FPR 0.01-0.02; under-calls genes
Tiberius-M17,arabidopsis_lyrata,0.9139982251320108,0.9139982251320108,0.9906177108410725,0.009382289158927455,15667,31750,0.4934488188976378,FPR<=0.01; under-calls genes
Tiberius-M17,drosophila_melanogaster,0.841287201795402,0.0,0.9705071580961867,0.029492841903813297,11554,17533,0.6589859122797012,FPR>0.02; under-calls genes
Tiberius-M17,gallus_gallus,0.8849660009886348,0.0,0.9619959980489637,0.03800400195103623,3955,8197,0.4824935952177626,FPR>0.02; under-calls genes
Tiberius-M17,oryza_sativa,0.868714299426104,0.868714299426104,0.9912872446891845,0.00871275531081547,8166,13324,0.6128790153107175,FPR<=0.01; under-calls genes
Helixer-M17,arabidopsis_lyrata,0.8751914313735466,0.0,0.9380042195324709,0.06199578046752911,33980,31750,1.070236220472441,FPR>0.02; gene count sane
Helixer-M17,drosophila_melanogaster,0.911817516171684,0.0,0.9835796378569086,0.016420362143091338,14446,17533,0.8239320139166144,FPR 0.01-0.02; gene count sane
Helixer-M17,gallus_gallus,0.8640682030245174,0.0,0.8826842205062976,0.11731577949370244,6201,8197,0.7564962791265097,FPR>0.02; gene count sane
Helixer-M17,oryza_sativa,0.8707695092813037,0.0,0.976907302223048,0.023092697776952036,11257,13324,0.8448664064845391,FPR>0.02; gene count sane
