model,species,gene_body_F1_unconstrained,constrained_gene_body_F1_at_0.01,intergenic_specificity,intergenic_FPR,predicted_gene_count,reference_gene_count,predicted_gene_count_ratio_vs_reference,utility_note
GENERanno-1.2B-s0,arabidopsis_thaliana,0.914411911091323,0.914411911091323,0.9973009490937123,0.002699050906287707,3898,5007,0.7785100858797683,FPR<=0.01; gene count sane
GENERanno-1.2B-s0,oryza_sativa,0.754154517117003,0.754154517117003,0.9913468693548034,0.008653130645196572,2579,2489,1.0361591000401769,FPR<=0.01; gene count sane
GENERanno-0.5B-base-s0,arabidopsis_thaliana,0.7813342267621406,0.0,0.9817963083862367,0.018203691613763312,5944,5007,1.1871380067904933,FPR 0.01-0.02; gene count sane
GENERanno-0.5B-base-s0,oryza_sativa,0.4981148822007101,0.0,0.8761070621267232,0.12389293787327685,6177,2489,2.4817195660907996,FPR>0.02; over-calls genes
M19-GENERanno-1.2B-s0,arabidopsis_thaliana,0.9222391725824625,0.9222391725824625,0.9974410279282921,0.0025589720717078455,4658,5007,0.9302975833832634,FPR<=0.01; gene count sane
M19-GENERanno-1.2B-s0,oryza_sativa,0.7225872405084943,0.0,0.9897009018282131,0.010299098171786904,3458,2489,1.3893129770992367,FPR 0.01-0.02; over-calls genes
M19-GENERanno-1.2B-s1,arabidopsis_thaliana,0.9358265875195236,0.9358265875195236,0.9970809955194145,0.0029190044805854462,3811,5007,0.7611344118234472,FPR<=0.01; gene count sane
M19-GENERanno-1.2B-s1,oryza_sativa,0.8038418121411675,0.8038418121411675,0.9922732645553984,0.007726735444601598,2410,2489,0.9682603455202893,FPR<=0.01; gene count sane
Tiberius,arabidopsis_thaliana,0.9553176244488709,0.9553176244488709,0.99590900540139,0.004090994598609971,21216,33461,0.6340515824392576,FPR<=0.01; under-calls genes
Tiberius,oryza_sativa,0.8687122046694647,0.8687122046694647,0.9912840445443354,0.008715955455664585,8167,13324,0.6129540678474933,FPR<=0.01; under-calls genes
ANNEVO,arabidopsis_thaliana,0.9473027437307452,0.9473027437307452,0.9955675033144692,0.004432496685530836,24628,33461,0.7360210394190251,FPR<=0.01; under-calls genes
ANNEVO,oryza_sativa,0.8901945920743758,0.0,0.985020068086799,0.014979931913200996,9351,13324,0.7018162713899729,FPR 0.01-0.02; under-calls genes
Helixer,arabidopsis_thaliana,0.9506079322767158,0.0,0.9816488115956273,0.018351188404372665,27126,33461,0.8106751143121843,FPR 0.01-0.02; gene count sane
Helixer,oryza_sativa,0.8707689655900549,0.0,0.976907302223048,0.023092697776952036,11257,13324,0.8448664064845391,FPR>0.02; gene count sane
