model,kind,species,genome_bases,reference_cds_bases,predicted_cds_bases,overlap_cds_bases,false_positive_cds_bases,false_negative_cds_bases,cds_base_precision,cds_base_recall,reference_span_groups,predicted_span_groups,span_group_ratio_vs_reference
GENERanno-1.2B-LoRA-s0,adapted_pretrained,arabidopsis_thaliana,18585056,7930041,7072590,6918007,154583,1012034,0.9781433675640748,0.8723797266621951,7426,4658,0.627255588472933
GENERanno-1.2B-LoRA-s0,adapted_pretrained,oryza_sativa,28605474,6061125,3994840,3633156,361684,2427969,0.9094622062460574,0.5994194147126153,2848,3458,1.214185393258427
GENERanno-1.2B-LoRA-s1,adapted_pretrained,arabidopsis_thaliana,18585056,7930041,7284827,7119239,165588,810802,0.9772694670717643,0.8977556358157543,7426,3811,0.5131968758416375
GENERanno-1.2B-LoRA-s1,adapted_pretrained,oryza_sativa,28605474,6061125,4566568,4271492,295076,1789633,0.9353834214228278,0.7047358369939574,2848,2410,0.8462078651685393
Tiberius-angiosperm,released_fixed_model,arabidopsis_thaliana,18585056,7930041,49271099,7398122,41872977,531919,0.15015134937420413,0.9329235498278003,7426,25128,3.3837866953945595
Tiberius-angiosperm,released_fixed_model,oryza_sativa,28605474,6061125,25034481,5033222,20001259,1027903,0.20105158161657116,0.8304105260987028,2848,10013,3.515800561797753
ANNEVO-Magnoliopsida,released_fixed_model,arabidopsis_thaliana,18585056,7930041,49088487,7261161,41827326,668880,0.14791983708929551,0.9156523907001237,7426,24628,3.3164556962025316
ANNEVO-Magnoliopsida,released_fixed_model,oryza_sativa,28605474,6061125,27058573,5339667,21718906,721458,0.19733734665165084,0.8809696219761183,2848,9351,3.2833567415730336
Helixer-land_plant,released_fixed_model,arabidopsis_thaliana,18585056,7930041,52287146,7558092,44729054,371949,0.1445497139966293,0.9530962071948934,7426,27126,3.6528413681659035
Helixer-land_plant,released_fixed_model,oryza_sativa,28605474,6061125,29148247,5350730,23797517,710395,0.1835695299274773,0.8827948606900534,2848,11257,3.9525983146067416
