model,kind,species,gene_body_F1_unconstrained,constrained_gene_body_F1,gene_body_precision,gene_body_recall,intergenic_specificity,intergenic_FPR,predicted_gene_count,reference_gene_count,predicted_gene_count_ratio_vs_reference
GENERanno-1.2B-LoRA-s0,adapted_pretrained,arabidopsis_thaliana,0.9222391725824625,0.9222391725824625,0.9781433675640748,0.8723797266621951,0.9974410279282921,0.0025589720717078455,4658,5007,0.9302975833832634
GENERanno-1.2B-LoRA-s0,adapted_pretrained,oryza_sativa,0.7225872405084943,0.7225872405084943,0.9094622062460574,0.5994194147126153,0.9897009018282131,0.010299098171786904,3458,2489,1.3893129770992367
GENERanno-1.2B-LoRA-s1,adapted_pretrained,arabidopsis_thaliana,0.9358265875195236,0.9358265875195236,0.9772694670717643,0.8977556358157543,0.9970809955194145,0.0029190044805854462,3811,5007,0.7611344118234472
GENERanno-1.2B-LoRA-s1,adapted_pretrained,oryza_sativa,0.8038418121411675,0.8038418121411675,0.9353834214228278,0.7047358369939574,0.9922732645553984,0.007726735444601598,2410,2489,0.9682603455202893
Tiberius-angiosperm,released_fixed_model,arabidopsis_thaliana,0.9553176244488709,0.9553176244488709,0.9814528797094622,0.930538184215928,0.99590900540139,0.004090994598609971,21216,33461,0.6340515824392576
Tiberius-angiosperm,released_fixed_model,oryza_sativa,0.8687122046694647,0.8687122046694647,0.9376352160046777,0.8092280541224012,0.9912840445443354,0.008715955455664585,8167,13324,0.6129540678474933
ANNEVO-Magnoliopsida,released_fixed_model,arabidopsis_thaliana,0.9473027437307452,0.9473027437307452,0.9750771499639009,0.9210667858089818,0.9955675033144692,0.004432496685530836,24628,33461,0.7360210394190251
ANNEVO-Magnoliopsida,released_fixed_model,oryza_sativa,0.8901945920743758,0.8901945920743758,0.922243682251832,0.8602981833608859,0.985020068086799,0.014979931913200996,9351,13324,0.7018162713899729
Helixer-land_plant,released_fixed_model,arabidopsis_thaliana,0.9506079322767158,0.9506079322767158,0.9476975660518935,0.9535362289552195,0.9816488115956273,0.018351188404372665,27126,33461,0.8106751143121843
Helixer-land_plant,released_fixed_model,oryza_sativa,0.8707689655900549,0.0,0.8686579333570215,0.872890283376203,0.976907302223048,0.023092697776952036,11257,13324,0.8448664064845391
